kind,w1961,w1962,w1963,w1964,w1965,w1966,w1967,w1968,w1969,w1970,w1971,w1972,w1973,w1974,w1975,w1976,w1977,w1978,w1979,w1980,w1981,w1982,w1983,w1984,w1985,w1986,w1987,w1988,w1989,w1990,w1991,w1992,w1993,w1994,w1995,w1996,w1997,w1998,w1999,w2000,w2001,w2002,w2003,w2004,w2005,w2006,w2007,w2008,w2009,w2010,w2011,w2012,w2013,w2014,w2015,w2016,w2017,w2018,w2019,w2020,w2021,w2022,w2023,w2024
grain,20680,22099,22749,23179,24300,24607,25739,26222,26721,27896,28834,28132,29864,31703,31701,31430,33190,34416,35370,36878,36869,36723,36546,37678,38453,38696,39298,39859,39777,39593,39581,39818,39816,39838,38526,37969,38205,38134,37717,37719,37064,36559,36826,36674,35764,35643,35723,35703,34740,35270,34764,34781,34213,33987,33151,32832,33059,33281,33313,33149,32058,32095,32069,31729
potato,9849,10147,9876,10063,9770,8999,8183,7667,7647,6426,6169,5307,5604,5040,4387,4707,5100,5076,4925,4956,4949,4743,5353,5131,5290,5454,5837,5701,5500,5416,5351,5284,5268,4955,5246,5228,4914,5228,4982,4802,4799,4804,4871,4669,4708,4695,4541,4770,4659,4446,4174,4350,4472,4392,4305,4243,4117,4340,4198,4307,3966,3959,4267,4217
bean,2075,2143,2173,2484,2458,2623,2893,3022,3185,3393,3880,3932,4064,4178,4131,4033,4073,4249,4674,4826,4888,4924,5016,5450,5290,5520,5521,5484,5365,5236,5296,5135,5335,5507,5369,5378,5444,5501,5351,5462,5425,5531,5773,5777,5162,4790,4675,4722,4413,4071,4035,3581,3419,3384,3485,3789,3810,3974,3955,4056,3843,3897,4278,3842
vegetables,11739,11189,12248,13404,12752,13509,14420,14724,16193,15762,15414,16108,16314,15781,16263,16102,16338,17177,17364,17191,17128,17350,17655,17121,17750,17472,17855,17925,17747,17783,17394,17086,17424,16770,16946,17299,17142,16745,16470,16952,16826,16722,16054,15819,15491,15849,15593,15505,15352,14867,14508,14910,15310,14962,15044,14776,14468,14654,14767,14688,14438,14221,14129,13626
fruit,3296,3447,3506,3865,4387,4466,5130,5315,6300,6112,6517,6585,7914,7887,7615,7993,7481,7840,7828,7956,7635,7582,7899,7926,7030,7485,7500,8068,7954,7832,7763,7391,8199,8293,9167,8656,8284,8687,8092,8744,8691,9246,8780,8362,8768,9036,8373,8552,8310,8159,7719,7837,8016,7682,7414,7263,7150,7092,7437,7068,7104,6665,6782,6441
meat,617,757,931,959,1070,1192,1348,1446,1498,1710,1899,2197,2416,2578,2696,2875,3039,3329,3525,3748,3741,3815,3935,4034,4138,4315,4521,4752,4903,4943,5004,5095,5218,5290,5443,5571,5511,5467,5538,5622,5683,5502,5643,5610,5519,5649,5574,5600,5657,5665,5769,5856,5924,5923,5925,6036,6203,6412,6544,6556,6531,6594,6570,6551
egg,689,889,975,1029,1223,1332,1235,1357,1500,1670,1817,1846,1848,1859,1834,1862,1912,1964,2033,2037,2041,2068,2109,2132,2174,2199,2333,2430,2448,2468,2470,2609,2668,2700,2667,2659,2674,2676,2640,2658,2656,2633,2647,2633,2608,2619,2635,2700,2646,2609,2619,2633,2624,2642,2628,2655,2649,2723,2737,2753,2684,2678,2648,2568
milk,2176,2456,2823,3288,3580,3815,4277,4492,4730,5026,5355,5487,5719,5903,5878,6160,6652,6963,7309,7797,7943,8303,8179,8648,8814,8785,8976,9576,10253,10218,10583,10820,10695,10753,11591,11800,12073,12104,12019,12129,12309,12174,12170,12205,12355,12144,12166,12243,11315,11114,11366,11635,11721,11635,11694,11891,11900,12150,12425,12413,12219,12220,12206,11702
fish,5383,5892,5914,6113,5845,6477,6524,7194,8280,8135,8631,8925,9440,10151,9889,10016,10097,10380,10695,10736,10734,11121,11264,11658,12035,12263,12617,13068,13475,13341,13028,12202,11777,12030,12323,11906,11662,11363,10689,10659,10812,11387,11147,10900,10519,10201,9892,9550,9418,9154,8701,8248,8297,7868,7891,7663,7365,7382,7154,7192,6838,6562,6514,6521
suger,1335,1443,1557,1560,1685,1805,1931,2085,2221,2479,2794,2823,3026,3070,2923,2809,2882,3072,2912,3014,2746,2624,2723,2598,2574,2676,2724,2737,2747,2715,2710,2732,2689,2606,2688,2666,2690,2627,2545,2571,2577,2561,2554,2565,2535,2544,2489,2533,2459,2473,2453,2424,2409,2434,2367,2357,2368,2325,2312,2267,2110,2127,2168,2095
oil,682,705,751,855,918,921,1049,1127,1218,1298,1364,1414,1533,1636,1618,1603,1732,1783,1907,1964,2069,2171,2215,2254,2290,2394,2566,2623,2568,2689,2706,2722,2690,2773,2723,2772,2822,2863,2787,2863,2896,2912,2912,2906,2963,2995,2994,2989,2988,2861,2920,2905,2916,2951,3010,3039,3050,3135,3119,3159,3098,2994,2820,2770
miso,835,801,759,766,783,775,782,790,770,748,763,756,766,774,736,713,732,720,698,704,709,700,695,679,673,655,656,639,639,621,606,603,607,597,574,567,573,568,573,561,554,537,535,523,513,505,498,485,465,456,463,458,437,427,446,454,461,467,465,464,459,446,446,437
soy sauce,1303,1265,1090,1069,1190,1159,1158,1214,1147,1165,1230,1242,1297,1378,1375,1240,1352,1259,1303,1360,1291,1269,1262,1247,1228,1214,1226,1223,1231,1215,1190,1189,1195,1190,1160,1133,1141,1106,1080,1037,1049,1008,984,970,939,923,930,929,862,848,829,804,788,790,757,757,741,728,717,700,662,661,652,633
